17:28:42.283039 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 1, but we had NACK'ed for it.
17:28:42.283055 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :448   | Can't nack anymore! Hit NACK bitrate limit. Try increasing NACK bitrate?
17:28:42.283075 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 2, but we had NACK'ed for it.
17:28:42.283096 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 3, but we had NACK'ed for it.
17:28:42.283114 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 4, but we had NACK'ed for it.
17:28:42.283138 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 5, but we had NACK'ed for it.
17:28:42.283156 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 6, but we had NACK'ed for it.
17:28:42.283168 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 114 received: took 0.000489 seconds
17:28:42.283192 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 7, but we had NACK'ed for it.
17:28:42.283215 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 8, but we had NACK'ed for it.
17:28:42.283289 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 9, but we had NACK'ed for it.
17:28:42.283372 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 10, but we had NACK'ed for it.
17:28:42.283422 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 11, but we had NACK'ed for it.
17:28:42.283561 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 12, but we had NACK'ed for it.
17:28:42.283644 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 13, but we had NACK'ed for it.
17:28:42.283778 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 14, but we had NACK'ed for it.
17:28:42.283881 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 15, but we had NACK'ed for it.
17:28:42.284007 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 16, but we had NACK'ed for it.
17:28:42.284102 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 17, but we had NACK'ed for it.
17:28:42.284187 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2716, Index 18, but we had NACK'ed for it.
17:28:42.290390 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :454   | NACKing is possible again.
17:28:42.326444 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.378436 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.434449 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.486414 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.542452 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.598460 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.650419 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.697218 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :247   | We received a packet with ID 2476, that will overwrite the frame with ID 2451!
17:28:42.697251 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :250   | We can't overwrite that frame, since our renderer has only gotten to ID -1!
