20:51:14:358 | INFO    | win_clipboard.c | lclipboard_directory:62 | Directory: C:\ProgramData\FractalCache
20:51:24:167 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14127104
20:51:24:170 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14131200
20:51:24:170 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14127104
20:51:24:174 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14135296
20:51:24:174 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14131200
20:51:24:177 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14135296
20:51:24:177 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14131200
20:51:24:181 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14139392
20:51:24:181 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14135296
20:51:24:184 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14139392
20:51:24:184 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14135296
20:51:24:187 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14143488
20:51:24:187 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14139392
20:51:24:189 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14143488
20:51:24:189 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14139392
20:51:24:193 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14151680
20:51:24:193 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14147584
20:51:24:196 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14151680
20:51:24:196 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14147584
20:51:24:198 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14155776
20:51:24:198 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14151680
20:51:24:201 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14155776
20:51:24:201 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14151680
20:51:24:203 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14159872
20:51:24:203 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14155776
20:51:24:205 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14159872
20:51:24:205 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14155776
20:51:24:209 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14163968
20:51:24:209 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14159872
20:51:24:212 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14163968
20:51:24:212 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14159872
20:51:24:216 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14168064
20:51:24:216 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14163968
20:51:24:219 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14168064
20:51:24:219 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14163968
20:51:24:223 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14172160
20:51:24:223 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14168064
20:51:24:226 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14172160
20:51:24:226 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14168064
20:51:24:230 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14176256
20:51:24:230 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14172160
20:51:24:233 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14176256
20:51:24:233 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14172160
20:51:24:235 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14180352
20:51:24:235 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14176256
20:51:24:239 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14180352
20:51:24:239 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14176256
20:51:24:242 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14184448
20:51:24:242 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14180352
20:51:24:245 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14184448
20:51:24:245 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14180352
20:51:24:249 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14188544
20:51:24:249 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14184448
20:51:24:252 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14188544
20:51:24:252 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14184448
20:51:24:256 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14192640
20:51:24:256 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14188544
20:51:24:258 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14192640
20:51:24:258 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14188544
20:51:24:260 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14196736
20:51:24:260 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14192640
20:51:24:263 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14196736
