22:03:41.615648 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 105
22:03:41.615824 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
22:03:41.627441 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 105 received: took 0.011359 seconds
22:03:41.790976 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9052, last_played_id 9052. Needs to catch up!
22:03:41.833248 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9055, last_played_id 9052
22:03:41.939862 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 419
22:03:41.955468 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 419 received: took 0.013931 seconds
22:03:42.412686 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- read_packet (udp) time (ms): avg 1.14, min 0.00, max 6.64 (8734 samples)
22:03:42.412740 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- update_video time (ms): avg 0.00, min 0.00, max 0.10 (8733 samples)
22:03:42.412755 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- update_audio time (ms): avg 0.00, min 0.00, max 0.40 (8733 samples)
22:03:42.412779 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- read_packet (tcp) time (ms): avg 1.19, min 0.12, max 6.65 (4110 samples)
22:03:42.412793 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- receive_audio time (ms): avg 0.00, min 0.00, max 0.07 (431 samples)
22:03:42.412820 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- receive_video time (ms): avg 0.04, min 0.00, max 0.60 (96 samples)
22:03:42.412830 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- handle_server_message (udp) time (ms): avg 0.04, min 0.02, max 0.08 (20 samples)
22:03:42.412841 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- handle_server_message (tcp) time (ms): avg 0.04, min 0.02, max 0.05 (5 samples)
22:03:42.428684 | INFO    | client/sync_packets.c               | update_server_bitrate         :162   | Asking for server MBPS to be 15.450656/95.367432/0.000000
22:03:42.442566 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 420
22:03:42.455603 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 420 received: took 0.012568 seconds
22:03:42.836786 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9097, last_played_id 9097. Needs to catch up!
22:03:42.882075 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9101, last_played_id 9097
22:03:42.944242 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 421
22:03:43.154728 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 421
22:03:43.274978 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 421 received: took 0.119972 seconds
22:03:43.275018 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 421 received: took 0.120012 seconds
22:03:43.642509 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 106
22:03:43.642623 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
