21:55:54:469 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 72.822800ms total!
21:55:54:529 | INFO    | main.c          | update:212 | Ping! 15
21:55:54:551 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 58.751600ms total!
21:55:54:551 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.022642
21:55:54:673 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.874500ms total!
21:55:54:773 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 76.434600ms total!
21:55:54:877 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 80.948200ms total!
21:55:54:964 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 25.140200ms total!
21:55:55:030 | INFO    | main.c          | update:212 | Ping! 16
21:55:55:038 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 55.451500ms total!
21:55:55:055 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.025271
21:55:55:094 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 37.224900ms total!
21:55:55:154 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 34.158300ms total!
21:55:55:201 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.629900ms total!
21:55:55:304 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.893400ms total!
21:55:55:409 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 81.837600ms total!
21:55:55:449 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 20.146400ms total!
21:55:55:531 | INFO    | main.c          | update:212 | Ping! 17
21:55:55:535 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 25.564000ms total!
21:55:55:558 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.028122
21:55:55:587 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 26.031900ms total!
21:55:55:638 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 33.730300ms total!
21:55:55:667 | INFO    | video.c         | updateVideo:497 | MBPS: 13027750.000000 0.666504
21:55:55:667 | INFO    | video.c         | updateVideo:529 | MBPS2: 13353443.750000
21:55:55:667 | INFO    | video.c         | updateVideo:535 | MBPS3: 13250000
21:55:55:668 | INFO    | main.c          | update:161 | Asking for server MBPS to be 12.636185
21:55:55:686 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 30.426000ms total!
21:55:55:726 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 21.795400ms total!
21:55:55:770 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 25.785400ms total!
21:55:55:870 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 75.827700ms total!
21:55:55:969 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 76.673600ms total!
21:55:56:031 | INFO    | main.c          | update:212 | Ping! 18
21:55:56:055 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 61.664500ms total!
21:55:56:055 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.024054
21:55:56:137 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 45.876100ms total!
21:55:56:237 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.864000ms total!
21:55:56:339 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 80.065500ms total!
21:55:56:380 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 22.521500ms total!
